,cuisine,link,location,name,phone,priceRange,rating,website
0,$$ - $$$ItalianPizzaVegetarian Friendly,https://www.tripadvisor.com/Restaurant_Review-g294207-d11877505-Reviews-Mambo_Italia_Garden_City-Nairobi.html,"Thika Road Garden City Mall, 1st Floor, Nairobi Kenya",Mambo Italia Garden City,+254 709 670000,"Italian, Pizza",3.5 ,
1,$$$$SeafoodSushiAsian,https://www.tripadvisor.com/Restaurant_Review-g294207-d20151172-Reviews-Mawimbi_Seafood_Restaurant-Nairobi.html,"Kijabe Street Longonot Place, Nairobi Kenya",Mawimbi Seafood Restaurant,+254 758 956805,"KES 1,100 - KES 3,450",5.0 ,https://www.facebook.com/mawimbiseafood/
2,$$ - $$$African,https://www.tripadvisor.com/Restaurant_Review-g294207-d2278665-Reviews-Hamdi-Nairobi.html,"5 Kaunda Street, Nairobi Kenya",Hamdi,"[<selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""af17a90a-a39b-4d37-a139-e4c0ee1a14d9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""dd5d824f-493f-48a4-aee5-cd7b587cacd5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""031acfb9-42e7-484d-b810-3f30b5410efe"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""7a939b70-305e-49b3-a498-27a409a7b4f4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""36e47ed4-6407-4e42-9046-c24a7481c78b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""8d1f5e4d-94d7-43f0-8e4c-97749e2bf509"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""d6835bd3-4faa-4b5d-9f84-d8091a35c859"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""0855ef70-eb53-45b5-8c6f-0a312a9c1f98"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""d6945225-8fcc-4109-95f9-f91b1126b628"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""f060d531-ab52-4a85-a52d-cb3d3e9717af"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""5b2dc0bf-a11b-4ee0-836c-909985aedf1f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""06823ac2-bf74-48d4-9a42-a9a6c6f02592"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""85f57e8d-eeb4-465a-a2e2-d0e3429ac45b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""1e85a871-41a9-46b3-9f5a-6acc3268ded4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""76a993a9-4a9c-4034-ae35-033ce4eb0da2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""700a7947-8e09-4b89-8a67-0667264c20aa"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""4f1f295f-5037-4347-8ce8-914a90957b47"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""3fbfb93e-1699-48a6-94cd-0def032a5ef4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""6ecc570b-084a-49ad-8814-f222bdc52e61"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""b3e57433-83a3-4778-a19e-697e960dd831"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""1c990f79-bf36-4e01-9b79-82d72fa3430b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""aa759185-8451-45b3-9102-85b0b7138f91"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""2689638e-1058-4179-a9ad-913eebd00b61"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""52e4f201-bdd2-475f-bf18-42dce1b20699"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""27d9f229-b138-483d-b717-67d5d28f0910"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""adb34ab6-05c9-4c52-87c2-b7b4929df0e3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""64519245-e6ef-4e60-8a7f-ba8dbd81bf00"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""93a8c63f-167d-4428-a1a7-3185845a842d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""fa520dfa-74ef-4142-bf71-4e810a196b9e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""40ee6006-2009-4d37-803f-7519d6c24589"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""19a9a629-2fd4-44ab-bdb0-59ea14ac1d40"")>]","KES 1,100 - KES 3,450",5.0 ,https://www.facebook.com/mawimbiseafood/
3,$Fast FoodGrill,https://www.tripadvisor.com/Restaurant_Review-g294207-d1078599-Reviews-Millenium-Nairobi.html,"Moi Avenue, Nairobi Kenya",Millenium,"[<selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""341ffbec-d635-4cf4-b288-17aef66f19bf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""355bfd81-fe73-4e01-86b2-ab0617a2858c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""2b260ff6-315d-4752-8621-e1d365b51c4f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""ab159bd7-931b-471c-bf9b-9a1b4e2aaa54"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""d280d522-54ec-49dd-bc80-89dfc6d26d60"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""ad66ca1b-877f-4800-a99a-9a3e239416cc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""82a53a76-5520-4a4e-9145-a217998630bd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""ab78992e-5454-4aa8-8ac9-b45d45ddeb21"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""7ab3561a-7b65-4377-8638-0f83f05b343e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""645a12b5-ad7c-4a57-a40b-7be364742cf4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""60e2ea51-924c-4ee9-808b-09bf035562d7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""0be2a766-e94d-44ed-bdee-1bd3a210c301"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""1a2e2328-5e66-4c32-a164-bff9279defa1"")>]","KES 1,100 - KES 3,450",5.0 ,https://www.facebook.com/mawimbiseafood/
4,None,https://www.tripadvisor.com/Restaurant_Review-g294207-d14029048-Reviews-Java_House_USIU-Nairobi.html,"USIU Road Freida Brown Student Center - USIU Africa, Nairobi 00505 Kenya",Java House USIU,+254 700 835142,"KES 1,100 - KES 3,450",5.0 ,http://www.javahouseafrica.com/
5,$$ - $$$Bar,https://www.tripadvisor.com/Restaurant_Review-g294207-d3267178-Reviews-Exchange_Bar-Nairobi.html,"Corner of Kimathi Street and Kenyatta Avenue 1st floor, Sarova Stanley Hotel, Nairobi 00100 Kenya",Exchange Bar,+254 20 2757000,"KES 1,086 - KES 1,630",4.5 ,http://www.sarovahotels.com/
6,$$$$Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g294207-d8374876-Reviews-Graze-Nairobi.html,"Woodvale Grove Sankara Hotel, Nairobi 00100 Kenya",Graze,+254 20 4208000,,4.0 ,http://www.sankara.com/en/dining/graze-steakhouse.html
7,$$ - $$$CafeEuropeanVegetarian Friendly,https://www.tripadvisor.com/Restaurant_Review-g294207-d2287737-Reviews-Artcaffe-Nairobi.html,"Limuru Road Village Market, Nairobi Kenya",Artcaffe,"[<selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""86babee9-9028-4b23-b6c9-1960a46f3591"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""0d002358-3ca0-48ea-8284-89736c09b8cd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""0d232b9a-762f-4577-82e4-1a013ee236f3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""210bfdf9-2d49-4249-85cf-e0c67fe1e355"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""56cd79b6-b3ea-4c68-b6e0-f4bca8ffc337"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""729c5a1b-7387-4c83-8d65-ae08148fbfcd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""9a4f9cfa-29f1-4627-8dc1-e765f42c5620"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""e704f4ce-dd49-42aa-8f11-e32403eabbec"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""73d69c3e-bfe2-4985-b8de-c93190fc5ffb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""e7c838b8-0aaf-42b2-89e4-03a827a10316"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""bd7c088c-2acf-4f18-a95d-37cbf61b0450"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""804bb876-76a5-4709-8a71-87b3abbd1df5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""b2027c7f-63ba-45ea-a0db-406000ce42cd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""20210482-7326-42d1-852b-68ac7d14fad7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""fe9c5073-5ce0-4e58-bde1-f8d0ce74afae"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""0b54bdf1-f27e-4e77-a421-5312a0488daf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""690b55b3-a7df-4b3e-8cee-f367130efeb7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""36214535-1886-4dfc-8914-cef4c6599255"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""4b7d5e52-82b7-4318-bd57-5a48c6d0c7c7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""b7ac45f5-cd01-482c-a42e-a0a298a5cc1a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""2edde42d-be62-483a-a03c-bdabc6bc5208"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""bc7abe43-ea8c-40ed-bc1b-ad54f0c141bc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""6cd1637e-ba2d-4b43-9305-b2e460d28b52"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""d00400de-038c-4d41-81c6-267db559dfcd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""486ae9da095a8efae040fafdbd2e3d2c"", element=""75e40ad8-6be5-4dfb-b3b0-9989f89d8842"")>]",,4.0 ,http://www.sankara.com/en/dining/graze-steakhouse.html
8,$$ - $$$LatinBarAsian,https://www.tripadvisor.com/Restaurant_Review-g294207-d19916147-Reviews-Peppertree-Nairobi.html,"Delta Towers, Westlands, Nairobi 00100 Kenya",Peppertree,+254 721 172950,"KES 1,200 - KES 4,500",4.5 ,http://www.peppertreekenya.com/
9,African,https://www.tripadvisor.com/Restaurant_Review-g294207-d17561161-Reviews-Medallion_Steak_House_Restaurant-Nairobi.html,"Moi Ave, Nairobi Kenya",Medallion Steak House & Restaurant,+254 796 758894,African,1.5 ,https://www.tripadvisor.com/UpdateListing-d17561161
10,None,https://www.tripadvisor.com/Restaurant_Review-g294207-d1214132-Reviews-Chic_Joint-Nairobi.html,"Utalii House, Utalii St, city centre, Nairobi Kenya",Chic Joint,337119,African,1.5 ,https://www.tripadvisor.com/UpdateListing-d1214132
11,$$ - $$$JapaneseSushiAsian,https://www.tripadvisor.com/Restaurant_Review-g294207-d1214153-Reviews-Furusato_Japanese_Restaurant-Nairobi.html,"Ring Road Parklands Westlands, Nairobi Kenya",Furusato Japanese Restaurant,+254 722 488706,,4.0 ,https://www.tripadvisor.com/UpdateListing-d1214153
12,$AfricanVegetarian FriendlyVegan Options,https://www.tripadvisor.com/Restaurant_Review-g294207-d10769392-Reviews-Kilimanjaro_jamia-Nairobi.html,"Kimathi Street Kenwood House, Nairobi 00600 Kenya",Kilimanjaro jamia,+254 729 923333,African,4.0 ,http://www.kilimanjarojamia.com/
13,$$ - $$$MexicanCafeDiner,https://www.tripadvisor.com/Restaurant_Review-g294207-d8541028-Reviews-Java_House_Galleria-Nairobi.html,"Langata Road Galleria Mall, Nairobi Kenya",Java House Galleria,+254 724 719218,"Mexican, Cafe, Diner, Healthy",4.0 ,http://www.nairobijavahouse.com/
14,IndianAfricanFast FoodBarbecue,https://www.tripadvisor.com/Restaurant_Review-g294207-d19426029-Reviews-Shooting_Sar_Lounge-Nairobi.html,"3rd Parklands Ave near Mtama Lane, Nairobi 00600 Kenya",Shooting Sar Lounge,+254 708 111844,"Indian, African, Fast Food, Barbecue",3.0 ,https://www.tripadvisor.com/UpdateListing-d19426029
